Condition,Female,Age Group,BMI category,Mean,
diabetes,0,3,3,0.0120,
diabetes,0,3,4,0.0438,
diabetes,0,4,1,0.0268,
diabetes,0,4,2,0.0199,
diabetes,0,4,3,0.0230,
diabetes,0,4,4,0.0779,
diabetes,0,5,1,0.0457,
diabetes,0,5,2,0.0525,
diabetes,0,5,3,0.0484,
diabetes,0,5,4,0.1140,
diabetes,0,6,1,0.0861,
diabetes,0,6,2,0.0549,
diabetes,0,6,3,0.0726,
diabetes,0,6,4,0.1670,
diabetes,0,7,1,0.0753,
diabetes,0,7,2,0.0617,
diabetes,0,7,3,0.0958,
diabetes,0,7,4,0.2080,
diabetes,0,8,1,0.1230,
diabetes,0,8,2,0.0907,
diabetes,0,8,3,0.1410,
diabetes,0,8,4,0.2640,
diabetes,0,9,1,0.0954,
diabetes,0,9,2,0.1190,
diabetes,0,9,3,0.1630,
diabetes,0,9,4,0.3020,
diabetes,0,10,1,0.1650,
diabetes,0,10,2,0.1320,
diabetes,0,10,3,0.1990,
diabetes,0,10,4,0.3880,
diabetes,0,11,1,0.3190,
diabetes,0,11,2,0.1690,
diabetes,0,11,3,0.2450,
diabetes,0,11,4,0.4200,
diabetes,0,12,1,0.1980,
diabetes,0,12,2,0.1710,
diabetes,0,12,3,0.2470,
diabetes,0,12,4,0.4020,
diabetes,0,13,1,0.1600,
diabetes,0,13,2,0.1630,
diabetes,0,13,3,0.2380,
diabetes,0,13,4,0.3760,
diabetes,1,1,1,0.0069,
diabetes,1,1,2,0.0065,
diabetes,1,1,3,0.0089,
diabetes,1,1,4,0.0235,
diabetes,1,2,1,0.0045,
diabetes,1,2,2,0.0071,
diabetes,1,2,3,0.0136,
diabetes,1,2,4,0.0332,
diabetes,1,3,1,0.0095,
diabetes,1,3,2,0.0101,
diabetes,1,3,3,0.0240,
diabetes,1,3,4,0.0612,
diabetes,1,4,1,0.0293,
diabetes,1,4,2,0.0122,
diabetes,1,4,3,0.0271,
diabetes,1,4,4,0.0866,
diabetes,1,5,1,0.0205,
diabetes,1,5,2,0.0192,
diabetes,1,5,3,0.0427,
diabetes,1,5,4,0.1350,
diabetes,1,6,1,0.1490,
diabetes,1,6,2,0.0251,
diabetes,1,6,3,0.0595,
diabetes,1,6,4,0.1760,
diabetes,1,7,1,0.0320,
diabetes,1,7,2,0.0393,
diabetes,1,7,3,0.0782,
diabetes,1,7,4,0.2150,
diabetes,1,8,1,0.0508,
diabetes,1,8,2,0.0533,
diabetes,1,8,3,0.1220,
diabetes,1,8,4,0.2690,
diabetes,1,9,1,0.0477,
diabetes,1,9,2,0.0576,
diabetes,1,9,3,0.1510,
diabetes,1,9,4,0.3140,
diabetes,1,10,1,0.0738,
diabetes,1,10,2,0.0865,
diabetes,1,10,3,0.1660,
diabetes,1,10,4,0.3380,
diabetes,1,11,1,0.0694,
diabetes,1,11,2,0.1130,
diabetes,1,11,3,0.2010,
diabetes,1,11,4,0.3520,
diabetes,1,12,1,0.0910,
diabetes,1,12,2,0.1320,
diabetes,1,12,3,0.2270,
diabetes,1,12,4,0.3630,
diabetes,1,13,1,0.0640,
diabetes,1,13,2,0.1220,
diabetes,1,13,3,0.2090,
diabetes,1,13,4,0.3470,
stroke,0,1,1,0.0054,
stroke,0,1,2,0.0030,
stroke,0,1,3,0.0029,
stroke,0,1,4,0.0037,
stroke,0,2,1,0.0137,
stroke,0,2,2,0.0054,
stroke,0,2,3,0.0032,
stroke,0,2,4,0.0054,
stroke,0,3,1,0.0075,
stroke,0,3,2,0.0071,
stroke,0,3,3,0.0048,
stroke,0,3,4,0.0080,
stroke,0,4,1,0.0275,
stroke,0,4,2,0.0126,
stroke,0,4,3,0.0056,
stroke,0,4,4,0.0117,
stroke,0,5,1,0.0244,
stroke,0,5,2,0.0120,
stroke,0,5,3,0.0097,
stroke,0,5,4,0.0146,
stroke,0,6,1,0.0280,
stroke,0,6,2,0.0158,
stroke,0,6,3,0.0152,
stroke,0,6,4,0.0231,
stroke,0,7,1,0.0609,
stroke,0,7,2,0.0312,
stroke,0,7,3,0.0240,
stroke,0,7,4,0.0359,
stroke,0,8,1,0.0997,
stroke,0,8,2,0.0384,
stroke,0,8,3,0.0332,
stroke,0,8,4,0.0475,
stroke,0,9,1,0.0932,
stroke,0,9,2,0.0559,
stroke,0,9,3,0.0480,
stroke,0,9,4,0.0637,
stroke,0,10,1,0.1020,
stroke,0,10,2,0.0625,
stroke,0,10,3,0.0563,
stroke,0,10,4,0.0768,
stroke,0,11,1,0.1290,
stroke,0,11,2,0.0691,
stroke,0,11,3,0.0764,
stroke,0,11,4,0.1040,
stroke,0,12,1,0.1260,
stroke,0,12,2,0.0848,
stroke,0,12,3,0.0892,
stroke,0,12,4,0.0942,
stroke,0,13,1,0.1250,
stroke,0,13,2,0.1110,
stroke,0,13,3,0.1130,
stroke,0,13,4,0.1180,
stroke,1,1,1,0.0032,
stroke,1,1,2,0.0024,
stroke,1,1,3,0.0033,
stroke,1,1,4,0.0041,
stroke,1,2,1,0.0113,
stroke,1,2,2,0.0045,
stroke,1,2,3,0.0057,
stroke,1,2,4,0.0082,
stroke,1,3,1,0.0159,
stroke,1,3,2,0.0070,
stroke,1,3,3,0.0084,
stroke,1,3,4,0.0108,
stroke,1,4,1,0.0156,
stroke,1,4,2,0.0090,
stroke,1,4,3,0.0097,
stroke,1,4,4,0.0144,
stroke,1,5,1,0.0278,
stroke,1,5,2,0.0123,
stroke,1,5,3,0.0175,
stroke,1,5,4,0.0221,
stroke,1,6,1,0.0319,
stroke,1,6,2,0.0156,
stroke,1,6,3,0.0195,
stroke,1,6,4,0.0348,
stroke,1,7,1,0.0283,
stroke,1,7,2,0.0195,
stroke,1,7,3,0.0254,
stroke,1,7,4,0.0395,
stroke,1,8,1,0.0497,
stroke,1,8,2,0.0288,
stroke,1,8,3,0.0361,
stroke,1,8,4,0.0566,
stroke,1,9,1,0.0528,
stroke,1,9,2,0.0313,
stroke,1,9,3,0.0392,
stroke,1,9,4,0.0678,
stroke,1,10,1,0.0938,
stroke,1,10,2,0.0396,
stroke,1,10,3,0.0564,
stroke,1,10,4,0.0673,
stroke,1,11,1,0.0857,
stroke,1,11,2,0.0743,
stroke,1,11,3,0.0617,
stroke,1,11,4,0.0762,
stroke,1,12,1,0.0794,
stroke,1,12,2,0.0680,
stroke,1,12,3,0.0778,
stroke,1,12,4,0.0892,
stroke,1,13,1,0.1030,
stroke,1,13,2,0.0884,
stroke,1,13,3,0.1010,
stroke,1,13,4,0.0998,
,,,,,
,,,,,
