Age Group,Race,BMI Category,Gender,Mean
3,1,1,0,0.007900
3,1,1,1,0.023000
3,1,2,0,0.006620
3,1,2,1,0.015700
3,1,3,0,0.009180
3,1,3,1,0.015100
3,1,4,0,0.008470
3,1,4,1,0.011900
3,2,1,0,0.000000
3,2,1,1,0.000000
3,2,2,0,0.004370
3,2,2,1,0.004240
3,2,3,0,0.000620
3,2,3,1,0.001350
3,2,4,0,0.002310
3,2,4,1,0.001350
3,3,1,0,0.000000
3,3,1,1,0.013900
3,3,2,0,0.031600
3,3,2,1,0.000138
3,3,3,0,0.003720
3,3,3,1,0.002540
3,3,4,0,0.000000
3,3,4,1,0.006860
3,4,1,0,0.000000
3,4,1,1,0.000000
3,4,2,0,0.001270
3,4,2,1,0.001260
3,4,3,0,0.000377
3,4,3,1,0.002990
3,4,4,0,0.000683
3,4,4,1,0.002090
3,5,1,0,0.000000
3,5,1,1,0.000000
3,5,2,0,0.000693
3,5,2,1,0.001500
3,5,3,0,0.000000
3,5,3,1,0.001090
3,5,4,0,0.003320
3,5,4,1,0.002520
3,6,1,0,0.000000
3,6,1,1,0.006940
3,6,2,0,0.002580
3,6,2,1,0.002890
3,6,3,0,0.002720
3,6,3,1,0.004650
3,6,4,0,0.003990
3,6,4,1,0.003570
3,7,1,0,0.000000
3,7,1,1,0.000000
3,7,2,0,0.004950
3,7,2,1,0.006050
3,7,3,0,0.003330
3,7,3,1,0.005980
3,7,4,0,0.004450
3,7,4,1,0.008170
4,1,1,0,0.024500
4,1,1,1,0.017900
4,1,2,0,0.015300
4,1,2,1,0.027600
4,1,3,0,0.013200
4,1,3,1,0.027000
4,1,4,0,0.011800
4,1,4,1,0.017000
4,2,1,0,0.000000
4,2,1,1,0.006330
4,2,2,0,0.004540
4,2,2,1,0.000974
4,2,3,0,0.002180
4,2,3,1,0.000637
4,2,4,0,0.001410
4,2,4,1,0.001210
4,3,1,0,0.029500
4,3,1,1,0.000000
4,3,2,0,0.000996
4,3,2,1,0.004930
4,3,3,0,0.008400
4,3,3,1,0.007640
4,3,4,0,0.009050
4,3,4,1,0.012500
4,4,1,0,0.000000
4,4,1,1,0.000000
4,4,2,0,0.000000
4,4,2,1,0.000681
4,4,3,0,0.002950
4,4,3,1,0.007450
4,4,4,0,0.006180
4,4,4,1,0.000000
4,5,1,0,0.000000
4,5,1,1,0.000000
4,5,2,0,0.001120
4,5,2,1,0.000000
4,5,3,0,0.014300
4,5,3,1,0.000456
4,5,4,0,0.017600
4,5,4,1,0.000174
